index,title,issn,zone
1,Nature Reviews Earth & Environmentreview,2662-138X,1区
2,REVIEWS OF GEOPHYSICSreview,8755-1209,1区
3,Nature Climate Change,1758-678X,1区
4,Nature Geoscience,1752-0894,1区
5,Annual Review of Marine Sciencereview,1941-1405,1区
6,EARTH-SCIENCE REVIEWSreview,0012-8252,1区
7,Annual Review of Earth and Planetary Sciencesreview,0084-6597,1区
8,Satellite Navigation,2662-9291,1区
9,REMOTE SENSING OF ENVIRONMENT,0034-4257,1区
10,Current Climate Change Reportsreview,2198-6061,1区
11,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,1区
12,AGU Advances,2576-604X,1区
13,Communications Earth & Environment,2662-4435,1区
14,npj Climate and Atmospheric Science,2397-3722,1区
15,Advances in Geo-Energy Research,2207-9963,1区
16,IEEE Geoscience and Remote Sensing Magazine,2473-2397,1区
17,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,0198-9715,1区
18,EARTH AND PLANETARY SCIENCE LETTERS,0012-821X,1区
19,International Journal of Applied Earth Observation and Geoinformation,1569-8432,1区
20,Geoscience Frontiers,1674-9871,1区
21,ECONOMIC GEOLOGY,0361-0128,1区
22,Journal of Remote Sensing,2694-1589,1区
23,GEOLOGY,0091-7613,1区
24,JOURNAL OF HUMAN EVOLUTION,0047-2484,1区
25,Earth System Science Data,1866-3508,1区
26,Gondwana Research,1342-937X,1区
27,Earths Future,2328-4277,1区
28,Journal of Geovisualization and Spatial Analysis,2509-8810,1区
29,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1365-8816,1区
30,GLOBAL BIOGEOCHEMICAL CYCLES,0886-6236,1区
31,Weather and Climate Extremes,2212-0947,1区
32,JOURNAL OF ARCHAEOLOGICAL SCIENCE,0305-4403,1区
33,GPS SOLUTIONS,1080-5370,1区
34,Journal of Hydrology,0022-1694,1区
35,MINERALIUM DEPOSITA,0026-4598,1区
36,GEOCHIMICA ET COSMOCHIMICA ACTA,0016-7037,1区
37,GIScience & Remote Sensing,1548-1603,1区
38,GLOBAL AND PLANETARY CHANGE,0921-8181,1区
39,Limnology and Oceanography Letters,2378-2242,1区
40,Science China-Earth Sciences,1674-7313,1区
41,JOURNAL OF MICROPALAEONTOLOGY,0262-821X,1区
